Flow_Time*,Flow
15918,1.028042236
15919,1.017310867
15920,1.018867018
15921,1.013562368
15922,1.01711904
15923,0.996351447
15924,1.004723116
15925,0.983793944
15926,1.001002984
15927,1.009790946
15928,1.01404622
15929,0.987176373
15930,1.033199675
15931,1.007921032
15932,1.011396065
15933,1.000736936
15934,0.990883209
15935,0.989739721
15936,1.014558406
15937,0.986591083
15938,1.009350405
15939,0.975818118
15940,0.989875433
15941,0.992420011
15942,1.002886049
15943,0.977780756
15944,1.004769378
15945,0.998368577
15946,1.010767877
15947,0.997480739
15948,0.997960245
15949,0.982834233
15950,1.011701924
15951,0.994755043
15952,1.003904237
15953,0.997017223
15954,1.000262053
15955,0.992677549
15956,1.011036092
15957,0.982572727
15958,0.999863624
15959,0.988225443
15960,0.988782635
15961,0.980045323
15962,0.994915845
15963,0.985078837
15964,0.992054454
15965,0.983490622
15966,0.99971371
15967,0.983398453
15968,0.979409009
15969,0.962947699
15970,0.978700689
15971,0.971826864
15972,0.9835551
15973,0.974533022
15974,0.979433486
15975,0.962142932
15976,0.993572275
15977,0.984112584
15978,0.99035276
15979,1.003366573
15980,1.01620293
15981,0.993184807
15982,1.012406529
15983,0.992429243
15984,1.002172663
15985,0.995443971
15986,1.00866753
15987,0.984434962
15988,1.012511691
15989,0.988100861
15990,0.998307332
15991,0.994790085
15992,0.998576243
15993,1.00527276
15994,1.024119334
15995,0.998890503
15996,1.010705101
15997,1.015717018
15998,1.005103332
15999,0.991664073
16000,1.004405701
16001,0.974009062
16002,1.000521593
16003,0.987143895
16004,0.989716256
16005,0.991894064
16006,0.994295086
16007,0.994043398
16008,1.021128464
16009,1.011429093
16010,1.019629284
16011,1.008140102
16012,1.002629993
16013,0.98955968
16014,1.007396498
16015,0.975118447
16016,1.002185739
16017,1.00448451
16018,1.028810583
16019,1.004325328
16020,1.038355784
16021,1.010549259
16022,1.027827635
16023,1.016022809
16024,1.025435684
16025,1.015512902
16026,1.022913693
16027,1.00221503
16028,1.008099879
16029,1.004739938
16030,1.001683354
16031,1.003754158
16032,1.009546213
16033,0.992243608
16034,1.006535797
16035,0.976546106
16036,0.989736661
16037,0.988634498
16038,0.999499327
16039,0.996420208
16040,1.006706764
16041,0.976144015
16042,0.991259671
16043,1.004534429
16044,1.027528443
16045,1.01998836
16046,1.022654388
16047,1.000762491
16048,1.019387876
16049,1.008058601
16050,1.012294986
16051,0.998042196
16052,1.007205221
16053,1.005195931
16054,1.005765057
16055,0.993421157
16056,0.990147479
16057,0.992083156
16058,0.994103606
16059,0.9799613
16060,1.007661341
16061,0.988916047
16062,1.022991619
16063,0.996174677
16064,0.996173644
16065,0.987774553
16066,1.003958297
16067,0.981682639
16068,1.003497658
16069,1.000075559
16070,1.005430137
16071,1.003890592
16072,1.009033771
16073,0.981136427
16074,1.008079769
16075,0.989882577
